sample_id,dataset,base__relevance,base__coherence,base__naturalness,base__avg,fine_tuned__relevance,fine_tuned__coherence,fine_tuned__naturalness,fine_tuned__avg,prompt_few_shot__relevance,prompt_few_shot__coherence,prompt_few_shot__naturalness,prompt_few_shot__avg,prompt_zero_shot__relevance,prompt_zero_shot__coherence,prompt_zero_shot__naturalness,prompt_zero_shot__avg,winner,timestamp
sample_115,GEM/schema_guided_dialog,5,5,5,5.0,5,5,5,5.0,5,5,5,5.0,5,5,5,5.0,tie,2026-04-13T18:06:29.357Z
sample_163,GEM/schema_guided_dialog,5,5,5,5.0,5,5,5,5.0,1,1,1,1.0,1,1,3,1.67,tie,2026-04-13T18:06:47.420Z
sample_60,allenai/WildChat-1M,3,3,3,3.0,3,3,3,3.0,3,3,3,3.0,3,3,3,3.0,tie,2026-04-13T18:06:48.977Z
sample_316,allenai/WildChat-1M,3,3,3,3.0,3,3,3,3.0,3,3,3,3.0,3,3,3,3.0,tie,2026-04-13T18:06:52.427Z
sample_247,GEM/schema_guided_dialog,5,5,5,5.0,5,5,5,5.0,5,5,5,5.0,5,5,5,5.0,tie,2026-04-13T18:07:02.348Z
sample_50,allenai/WildChat-1M,4,4,2,3.33,5,4,5,4.67,3,3,1,2.33,5,5,5,5.0,prompt_zero_shot,2026-04-13T18:07:37.488Z
sample_69,GEM/schema_guided_dialog,5,5,5,5.0,5,5,5,5.0,5,5,5,5.0,5,5,5,5.0,tie,2026-04-13T18:07:46.011Z
sample_343,GEM/schema_guided_dialog,5,5,5,5.0,4,5,5,4.67,1,1,1,1.0,5,5,5,5.0,tie,2026-04-13T18:08:01.385Z
sample_383,GEM/schema_guided_dialog,5,5,5,5.0,5,5,5,5.0,1,1,3,1.67,2,2,2,2.0,tie,2026-04-13T18:08:13.639Z
sample_366,allenai/WildChat-1M,3,3,3,3.0,3,3,3,3.0,3,3,3,3.0,3,3,3,3.0,tie,2026-04-13T18:08:15.092Z
sample_288,allenai/WildChat-1M,3,3,3,3.0,3,3,3,3.0,3,3,3,3.0,3,3,3,3.0,tie,2026-04-13T18:08:27.004Z
sample_122,allenai/WildChat-1M,2,2,3,2.33,3,3,3,3.0,1,1,1,1.0,3,4,3,3.33,prompt_zero_shot,2026-04-13T18:08:54.722Z
sample_276,allenai/WildChat-1M,4,4,4,4.0,3,4,3,3.33,3,3,3,3.0,3,2,2,2.33,base,2026-04-13T18:09:08.926Z
sample_396,allenai/WildChat-1M,3,3,3,3.0,3,3,3,3.0,3,3,3,3.0,3,3,3,3.0,tie,2026-04-13T18:09:11.269Z
sample_275,GEM/schema_guided_dialog,5,5,5,5.0,5,5,5,5.0,5,5,5,5.0,5,5,5,5.0,tie,2026-04-13T18:09:21.512Z
sample_19,GEM/schema_guided_dialog,5,5,5,5.0,5,5,5,5.0,1,1,1,1.0,5,5,5,5.0,tie,2026-04-13T18:09:30.843Z
sample_231,GEM/schema_guided_dialog,2,3,4,3.0,5,5,5,5.0,1,1,3,1.67,4,4,5,4.33,fine_tuned,2026-04-13T18:09:56.356Z
sample_285,GEM/schema_guided_dialog,5,5,5,5.0,5,5,5,5.0,5,5,5,5.0,5,5,5,5.0,tie,2026-04-13T18:10:06.092Z
sample_220,allenai/WildChat-1M,3,3,3,3.0,3,3,3,3.0,3,3,3,3.0,3,3,3,3.0,tie,2026-04-13T18:10:07.458Z
sample_306,allenai/WildChat-1M,3,3,3,3.0,3,3,3,3.0,3,3,3,3.0,3,3,3,3.0,tie,2026-04-13T18:10:11.539Z
sample_327,GEM/schema_guided_dialog,5,5,5,5.0,5,5,5,5.0,5,5,5,5.0,5,5,5,5.0,tie,2026-04-13T18:10:19.641Z
sample_355,GEM/schema_guided_dialog,5,5,5,5.0,5,5,4,4.67,1,1,3,1.67,5,5,5,5.0,tie,2026-04-13T18:10:36.057Z
